TR,CoDE,pval
TR01,6.088348732272057,0.0
TR02,6.216402880532897,0.0
TR03,6.316767193205329,0.0
TR04,6.396864715502825,0.0
TR05,6.4616391498032835,0.0
TR06,6.514512680867227,0.0
TR07,6.557475954483805,0.0
TR08,6.5909276616162575,0.0
TR09,6.6135859394895835,0.0
TR10,6.621840920472307,0.0
TR11,6.607742205373889,0.0
TR12,6.554591653001634,0.0
TR13,6.426952366266891,0.0
TR14,6.150739183243291,0.0
TR15,5.619891173727842,0.0
TR16,5.0434673210718115,0.0
TR17,5.1380170167693,0.0
TR18,5.682982849238483,0.0
TR19,6.129874558549034,0.0
TR20,6.404186959315808,0.0
TR21,6.576558675219218,0.0
TR22,6.694567722884775,0.0
TR23,6.7816907941737865,0.0
TR24,6.848952489351056,0.0
TR25,6.901271765659662,0.0
TR26,6.940061604326067,0.0
TR27,6.9645455981464,0.0
TR28,6.972378637883831,0.0
TR29,6.9589960018621895,0.0
TR30,6.916134385530877,0.0
