TR01,TR02,TR03,TR04,TR05,TR06,TR07,TR08,TR09,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TR19,TR20,TR21,TR22,TR23,TR24,TR25,TR26,TR27,TR28,TR29,TR30
0.018208185,0.026348764,0.034819126,0.04313228,0.05086252,0.057562508,0.06271956,0.06585055,0.06662387,0.06488064,0.06059454,0.05387428,0.04499245,0.034376696,0.022595655,0.010326107,-0.001766747,-0.013175094,-0.023581568,-0.03277658,-0.04056889,-0.04677241,-0.05121925,-0.05374302,-0.05419498,-0.052538574,-0.04893553,-0.043746218,-0.037479177,-0.030721435
-0.094628304,-0.12413541,-0.15713643,-0.1921728,-0.22737354,-0.26063105,-0.28972942,-0.31239766,-0.3263985,-0.32974145,-0.32095024,-0.29929584,-0.26498246,-0.21926111,-0.16438174,-0.10336333,-0.039677985,0.023103649,0.08169036,0.13344342,0.17657147,0.21006663,0.23351578,0.24694137,0.25074822,0.24573366,0.23307294,0.21428189,0.19118986,0.16584428
-0.0687235,-0.10258524,-0.14230144,-0.1861038,-0.23162025,-0.276142,-0.3168628,-0.35098302,-0.37575892,-0.38871422,-0.38794592,-0.37234667,-0.34176785,-0.29716563,-0.24064004,-0.17525996,-0.104760334,-0.033192318,0.03552165,0.09802438,0.15176916,0.1950676,0.22701119,0.24733058,0.25632587,0.2548314,0.24414082,0.22598118,0.20251389,0.17624116
0.082643844,0.10894781,0.13693787,0.16501246,0.19131644,0.21378648,0.23032868,0.23903026,0.23833798,0.22730598,0.20583658,0.1747424,0.13569431,0.09113002,0.043995,-0.002717844,-0.046448078,-0.08534531,-0.118257605,-0.14457977,-0.16411783,-0.1769826,-0.18347551,-0.18401504,-0.17909212,-0.16923857,-0.15507549,-0.13746865,-0.11765653,-0.09717701
0.09629043,0.124639384,0.15493165,0.18537338,0.2138213,0.23797093,0.25554785,0.26448014,0.26307613,0.2502423,0.22566324,0.18991232,0.14456242,0.092175305,0.036014993,-0.020441173,-0.07397064,-0.12193945,-0.16243765,-0.19426095,-0.21688807,-0.23040871,-0.23535508,-0.23250045,-0.22274064,-0.20707826,-0.1866761,-0.16291668,-0.13738745,-0.11174084
-0.07571231,-0.09756199,-0.1214437,-0.14600249,-0.16956389,-0.1903484,-0.20663823,-0.21681698,-0.21937706,-0.21305883,-0.19711019,-0.17151326,-0.1371178,-0.09565322,-0.049594145,-0.001873014,0.044493828,0.086781,0.12285432,0.15132952,0.17157935,0.18359573,0.18777311,0.18476962,0.17553565,0.16133097,0.14359279,0.12376013,0.10321815,0.08328665
-0.08461509,-0.1130427,-0.14508316,-0.17895682,-0.21251108,-0.24350068,-0.26972714,-0.2890871,-0.2996393,-0.29974452,-0.28827783,-0.2648412,-0.2299286,-0.18500769,-0.13245648,-0.07532598,-0.017000386,0.039162602,0.0901847,0.13378014,0.16851364,0.19376259,0.20956145,0.2164024,0.21509095,0.20668186,0.19241378,0.17366515,0.1519855,0.12910068
-0.020293286,-0.019530147,-0.018046021,-0.015794024,-0.01269774,-0.008676936,-0.003653535,0.00246471,0.009739707,0.018112613,0.027339764,0.036988847,0.046495188,0.055244535,0.062646225,0.0682037,0.071564645,0.07252632,0.071058385,0.06736321,0.06189101,0.05523464,0.047983915,0.04062102,0.033488803,0.02681395,0.020753067,0.01539445,0.010708829,0.006525562
-0.0843609,-0.11230855,-0.14297704,-0.1749265,-0.20650075,-0.23587856,-0.26115376,-0.28041553,-0.29179657,-0.29358906,-0.28444067,-0.2635906,-0.23110399,-0.1880243,-0.13636544,-0.07892832,-0.018989243,0.040057253,0.09504338,0.14333077,0.18299773,0.21285515,0.23237328,0.24162306,0.2412228,0.2322446,0.21612488,0.19461748,0.16975792,0.14371283
-0.07992963,-0.10172327,-0.12557822,-0.15021518,-0.17403883,-0.19529592,-0.21222566,-0.22317895,-0.22675082,-0.22194165,-0.20828739,-0.18590307,-0.15547869,-0.11825909,-0.07599913,-0.03081803,0.015006662,0.059251696,0.09997131,0.13569345,0.16545491,0.18869057,0.20509906,0.21453935,0.21698107,0.212603,0.20193805,0.18593082,0.16589758,0.14340405
-0.024884302,-0.03336008,-0.04189891,-0.049785767,-0.05640639,-0.06135598,-0.06438089,-0.065262996,-0.06374811,-0.05950133,-0.052132074,-0.041346833,-0.027152672,-0.009962458,0.009420859,0.029890336,0.050175164,0.06899615,0.085199915,0.09786583,0.10639252,0.11053583,0.11038113,0.10626526,0.09870207,0.08834591,0.075945094,0.062288105,0.048193805,0.034458525
-0.10345266,-0.1359017,-0.1721323,-0.2102802,-0.24804536,-0.2829447,-0.31250757,-0.33446154,-0.34685624,-0.34808555,-0.33690792,-0.3126113,-0.27528313,-0.2260297,-0.167012,-0.10125765,-0.03232524,0.036078364,0.10049535,0.15807006,0.20671435,0.2450751,0.27243015,0.28857574,0.29374442,0.28862405,0.2743958,0.25270754,0.22560067,0.19537805
