TR01,TR02,TR03,TR04,TR05,TR06,TR07,TR08,TR09,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TR19,TR20,TR21,TR22,TR23,TR24,TR25,TR26,TR27,TR28,TR29,TR30
-0.045011215,-0.052158188,-0.059192248,-0.065974526,-0.072372034,-0.07827679,-0.083503634,-0.08759177,-0.08982864,-0.08943977,-0.08572311,-0.07813874,-0.06642001,-0.050660133,-0.03138813,-0.009648263,0.013063422,0.035138812,0.05521792,0.07223856,0.08533247,0.09386749,0.09758851,0.096666455,0.09164731,0.0833736,0.07291048,0.06143066,0.05006184,0.039735127
0.061751433,0.06947217,0.07685358,0.08393931,0.090825416,0.09750831,0.103753574,0.10914697,0.11319897,0.1153199,0.11480201,0.110893734,0.10291413,0.09039043,0.07323882,0.05191623,0.02747661,0.001527575,-0.02401662,-0.047349814,-0.06710014,-0.0824593,-0.09319564,-0.09957566,-0.1021646,-0.10159287,-0.09839194,-0.09296244,-0.08566273,-0.07694719
0.2555136,0.29592183,0.3344767,0.369727,0.40045056,0.42553207,0.44380873,0.4539331,0.45432177,0.44324034,0.41903004,0.38045806,0.32710865,0.25964957,0.17999849,0.091410205,-0.001672374,-0.09405593,-0.18047953,-0.25639507,-0.31854367,-0.3651649,-0.39589557,-0.41139963,-0.4129065,-0.40192127,-0.38016576,-0.34964192,-0.3127861,-0.27246913
-0.07856755,-0.09193266,-0.104738176,-0.11664765,-0.12769067,-0.13809657,-0.14803194,-0.15736996,-0.16551243,-0.17132269,-0.17324501,-0.1696166,-0.15903339,-0.1406505,-0.114390224,-0.0810473,-0.042266745,-0.000367834,0.041977137,0.08207995,0.11747757,0.14611766,0.16654278,0.17803125,0.1806201,0.17501736,0.16248801,0.14475003,0.12384971,0.10196954
0.014830112,0.021115107,0.027505044,0.03328414,0.037653502,0.03982677,0.03926394,0.035916764,0.030254507,0.023088118,0.015371676,0.008106722,0.002228844,-0.001593347,-0.003090712,-0.002405895,-5.59E-05,0.003122106,0.006069532,0.007711841,0.007210388,0.004127396,-0.001541686,-0.009393994,-0.018590653,-0.027901981,-0.035996217,-0.04180728,-0.044729784,-0.044651244
-0.026508152,-0.030241605,-0.03383859,-0.036862023,-0.038878538,-0.039473243,-0.03821145,-0.034667008,-0.028494893,-0.019559516,-0.008086083,0.005277662,0.01956161,0.03363662,0.04635465,0.05671806,0.064079486,0.068193,0.069106214,0.06704018,0.062357847,0.055582095,0.047340155,0.03827604,0.029030845,0.020247405,0.012510132,0.006226923,0.001562921,-0.001534772
0.16311799,0.19118421,0.21853624,0.24423106,0.2674457,0.28744596,0.30358255,0.31523022,0.3216634,0.32194346,0.31495714,0.29958788,0.2749416,0.24058731,0.19676496,0.14449948,0.085688874,0.023089739,-0.03997811,-0.10013607,-0.15436207,-0.20023154,-0.2361156,-0.26122293,-0.27542615,-0.2791395,-0.2733102,-0.25936696,-0.23914762,-0.21480222
-0.080382295,-0.096628815,-0.11335371,-0.12992962,-0.14557485,-0.15937024,-0.17031014,-0.17737877,-0.1796311,-0.17627867,-0.16675636,-0.15073599,-0.12815636,-0.09937476,-0.065364294,-0.027753344,0.011361328,0.049695775,0.08509763,0.11588693,0.14103124,0.16006087,0.17286444,0.17954022,0.18034644,0.17569607,0.16618551,0.15264167,0.13611749,0.117808975
-0.016309803,-0.022573529,-0.028759414,-0.03446778,-0.039357103,-0.04315833,-0.045680843,-0.0467961,-0.04649402,-0.04498677,-0.042640507,-0.03978897,-0.03665194,-0.03336725,-0.030010683,-0.02657023,-0.022874456,-0.018598795,-0.013432107,-0.00727761,-0.000324343,0.007035504,0.014335878,0.021098899,0.026889373,0.031421196,0.03459928,0.03648037,0.037239708,0.037112296
-0.060862616,-0.07307683,-0.084817335,-0.095268086,-0.10368863,-0.10949552,-0.112248465,-0.11159356,-0.10725987,-0.099108174,-0.08713705,-0.07147588,-0.052467648,-0.030818542,-0.007621676,0.015786793,0.038031,0.057918124,0.07466085,0.08798005,0.09797421,0.104839385,0.10866892,0.10945446,0.10722368,0.10217129,0.09468621,0.085291944,0.07457756,0.063172996
